name,ra_deg,dec_deg,mass_Msun,mass_err,distance_kpc,period_h,companion_type,ref
Cyg X-1,299.590315,35.201607,21.2,2.2,2.22,134.4,O9.7Iab,Miller-Jones+2021
V404 Cyg,306.015831,33.867181,9.0,0.6,2.39,155.3,K0IV,Khargharia+2010
GRO J1655-40,253.500625,-39.845875,6.3,0.5,3.2,62.9,F6IV,Beer+Podsiadlowski 2002
GRS 1915+105,288.798333,10.945778,12.4,2.0,8.6,812.4,KIII,Reid+2014
XTE J1118+480,169.545,48.036944,7.5,0.5,1.72,4.1,K7-M0V,Khargharia+2013
4U 1543-47,236.783667,-47.669639,9.4,1.0,7.5,26.8,A2V,Orosz+2002
A0620-00,95.668708,-0.344889,6.6,0.2,1.06,7.8,K4V,Cantrell+2010
GS 2000+25,300.546667,25.232722,7.3,0.3,2.7,8.3,K5V,Casares+Charles 1994
XTE J1550-564,237.7425,-56.475889,9.1,0.6,4.4,37.0,K3III,Orosz+2011
H 1705-250,256.985833,-25.109528,6.0,0.5,8.6,12.5,K3-7V,Remillard+1996
GRS 1124-68,170.885,-68.729167,6.9,0.6,3.0,10.4,K3-5V,Wu+2018
MAXI J1659-152,254.757083,-15.258333,5.0,1.0,8.6,2.4,M5V,Kuulkers+2013
XTE J1859+226,284.873333,22.649167,8.0,1.0,4.6,6.6,K5V,Corral-Santana+2011
GX 339-4,255.706292,-48.789753,8.0,2.0,3.0,42.1,K3-7III,Heida+2017
MAXI J1535-571,233.775,-57.202222,7.0,2.0,4.1,0.44,K3V,Chauhan+2019
MAXI J1820+070,275.095833,7.186111,8.0,1.5,2.96,0.69,K6V,Torres+2020
Swift J1357.2-0933,209.308333,-9.55,6.0,1.0,1.7,2.8,M4.5V,Corral-Santana+2013
XTE J1752-223,268.0,-22.316667,8.0,2.0,5.0,0.36,K5V,Ratti+2012
GRS 1716-249,259.316667,-24.95,4.9,1.3,2.4,14.7,K0-2V,Casares+2017
SAX J1819.3-2525,274.854167,-25.416667,6.5,2.0,2.5,2.8,M3V,MacDonald+2014
MAXI J1305-704,196.25,-70.45,8.0,2.0,6.0,0.28,late-type,Mata Sanchez+2017
MAXI J1348-630,207.041667,-63.091667,7.0,1.5,3.4,0.42,late-type,Mata Sanchez+2021
XTE J1720-318,260.0,-31.8,7.0,2.0,6.5,0.28,late-type,Cadolle Bel+2004
MAXI J1803-298,270.958333,-29.916667,7.0,2.0,4.0,0.17,late-type,Mata Sanchez+2022
IGR J17091-3624,257.2875,-36.413889,6.0,2.0,5.0,0.55,late-type,Altamirano+2011
GRS 1739-278,265.270833,-27.733333,7.0,2.0,5.0,1.7,late-type,Yan+2017
XTE J1650-500,252.75,-49.95,5.7,1.3,2.6,0.32,K4V,Orosz+2004
BW Cir,197.6875,-64.2,7.0,2.0,3.0,0.19,late-type,Casares+2009
