event_name,catalog,mass1_Msun,mass2_Msun,m1_err_up,m1_err_low,m2_err_up,m2_err_low,distance_Mpc,dist_err_up,dist_err_low,redshift,snr,total_mass,chirp_mass,chi_eff,final_mass
GW200322_091133,GWTC-3-confident,38.0,11.3,130.0,-22.0,24.3,-6.0,3500.0,12500.0,-2200.0,0.59,4.5,50.0,15.0,0.27,48.0
GW200316_215756,GWTC-3-confident,13.1,7.8,10.2,-2.9,2.0,-2.9,1120.0,480.0,-440.0,0.22,10.3,21.2,8.75,0.13,20.2
GW200311_115853,GWTC-3-confident,34.2,27.7,6.4,-3.8,4.1,-5.9,1170.0,280.0,-400.0,0.23,17.8,61.9,26.6,-0.02,59.0
GW200308_173609,GWTC-3-confident,60.0,24.0,166.0,-29.0,36.0,-13.0,7100.0,13900.0,-4400.0,1.04,4.7,92.0,34.0,0.16,88.0
GW200306_093714,GWTC-3-confident,28.3,14.8,17.1,-7.7,6.5,-6.4,2100.0,1700.0,-1100.0,0.38,7.8,43.9,17.5,0.32,41.7
GW200302_015811,GWTC-3-confident,37.8,20.0,8.7,-8.5,8.1,-5.7,1480.0,1020.0,-700.0,0.28,10.8,57.8,23.4,0.01,55.5
GW200225_060421,GWTC-3-confident,19.3,14.0,5.0,-3.0,2.8,-3.5,1150.0,510.0,-530.0,0.22,12.5,33.5,14.2,-0.12,32.1
GW200224_222234,GWTC-3-confident,40.0,32.7,6.7,-4.5,4.8,-7.2,1710.0,500.0,-650.0,0.32,20.0,72.3,31.1,0.1,68.7
GW200220_124850,GWTC-3-confident,38.9,27.9,14.1,-8.6,9.2,-9.0,4000.0,2800.0,-2200.0,0.66,8.5,67.0,28.2,-0.07,64.0
GW200220_061928,GWTC-3-confident,87.0,61.0,40.0,-23.0,26.0,-25.0,6000.0,4800.0,-3100.0,0.9,7.2,148.0,62.0,0.06,141.0
GW200219_094415,GWTC-3-confident,37.5,27.9,10.1,-6.9,7.4,-8.4,3400.0,1700.0,-1500.0,0.57,10.7,65.0,27.6,-0.08,62.2
GW200216_220804,GWTC-3-confident,51.0,30.0,22.0,-13.0,14.0,-16.0,3800.0,3000.0,-2000.0,0.63,8.1,81.0,32.9,0.1,78.0
GW200209_085452,GWTC-3-confident,35.6,27.1,10.5,-6.8,7.8,-7.8,3400.0,1900.0,-1800.0,0.57,9.6,62.6,26.7,-0.12,59.9
GW200208_222617,GWTC-3-confident,51.0,12.3,103.0,-30.0,9.2,-5.5,4100.0,4400.0,-2000.0,0.66,7.4,63.0,19.8,0.45,61.0
GW200208_130117,GWTC-3-confident,37.7,27.4,9.3,-6.2,6.3,-7.3,2230.0,1020.0,-850.0,0.4,10.8,65.3,27.7,-0.07,62.5
GW200202_154313,GWTC-3-confident,10.1,7.3,3.5,-1.4,1.1,-1.7,410.0,150.0,-160.0,0.09,10.8,17.58,7.49,0.04,16.76
GW200129_065458,GWTC-3-confident,34.5,29.0,9.9,-3.1,3.3,-9.3,890.0,260.0,-370.0,0.18,26.8,63.3,27.2,0.11,60.2
GW200128_022011,GWTC-3-confident,42.2,32.6,11.6,-8.1,9.5,-9.2,3400.0,2100.0,-1800.0,0.56,10.6,75.0,32.0,0.12,71.0
GW200112_155838,GWTC-3-confident,35.6,28.3,6.7,-4.5,4.4,-5.9,1250.0,430.0,-460.0,0.24,19.8,63.9,27.4,0.06,60.8
GW191230_180458,GWTC-3-confident,49.4,37.0,14.0,-9.6,11.0,-12.0,4300.0,2100.0,-1900.0,0.69,10.4,86.0,36.5,-0.05,82.0
GW191222_033537,GWTC-3-confident,45.1,34.7,10.9,-8.0,9.3,-10.5,3000.0,1700.0,-1700.0,0.51,12.5,79.0,33.8,-0.04,75.5
GW191216_213338,GWTC-3-confident,12.1,7.7,4.6,-2.2,1.6,-1.9,340.0,120.0,-130.0,0.07,18.6,19.8,8.33,0.11,18.87
GW191215_223052,GWTC-3-confident,24.9,18.1,7.1,-4.1,3.8,-4.1,1930.0,890.0,-860.0,0.35,11.2,43.3,18.4,-0.04,41.4
GW191204_171526,GWTC-3-confident,11.7,8.4,3.3,-1.7,1.3,-1.7,640.0,200.0,-260.0,0.13,17.4,20.19,8.56,0.16,19.18
GW191204_110529,GWTC-3-confident,27.3,19.2,10.8,-5.9,5.5,-6.0,1900.0,1700.0,-1100.0,0.34,8.9,47.1,19.8,0.05,45.0
GW191129_134029,GWTC-3-confident,10.7,6.7,4.1,-2.1,1.5,-1.7,790.0,260.0,-330.0,0.16,13.1,17.5,7.31,0.06,16.8
GW191127_050227,GWTC-3-confident,53.0,24.0,47.0,-20.0,17.0,-14.0,3400.0,3100.0,-1900.0,0.57,9.2,80.0,29.9,0.18,76.0
GW191126_115259,GWTC-3-confident,12.1,8.3,5.5,-2.2,1.9,-2.4,1620.0,740.0,-740.0,0.3,8.3,20.7,8.65,0.21,19.6
GW191113_071753,GWTC-3-confident,29.0,5.9,12.0,-14.0,4.4,-1.3,1370.0,1150.0,-620.0,0.26,7.9,34.5,10.7,0.0,34.0
GW191109_010717,GWTC-3-confident,65.0,47.0,11.0,-11.0,15.0,-13.0,1290.0,1130.0,-650.0,0.25,17.3,112.0,47.5,-0.29,107.0
GW191105_143521,GWTC-3-confident,10.7,7.7,3.7,-1.6,1.4,-1.9,1150.0,430.0,-480.0,0.23,9.7,18.5,7.82,-0.02,17.6
GW191103_012549,GWTC-3-confident,11.8,7.9,6.2,-2.2,1.7,-2.4,990.0,500.0,-470.0,0.2,8.9,20.0,8.34,0.21,19.0
GW190930_133541,GWTC-2.1-confident,14.2,6.9,8.0,-4.0,2.4,-2.1,770.0,320.0,-320.0,0.16,9.7,21.2,8.5,0.19,20.2
GW190929_012149,GWTC-2.1-confident,66.3,26.8,21.6,-16.6,14.7,-10.6,3130.0,2510.0,-1370.0,0.53,9.7,93.3,35.6,-0.03,90.3
GW190926_050336,GWTC-2.1-confident,41.1,20.4,20.8,-12.5,11.4,-8.2,3280.0,3400.0,-1730.0,0.55,8.1,61.9,24.4,-0.02,59.6
GW190925_232845,GWTC-2.1-confident,20.8,15.5,6.5,-2.9,2.5,-3.6,930.0,460.0,-350.0,0.19,9.7,36.7,15.6,0.09,34.9
GW190924_021846,GWTC-2.1-confident,8.8,5.1,4.3,-1.8,1.2,-1.5,550.0,220.0,-220.0,0.11,12.0,13.9,5.8,0.03,13.3
GW190916_200658,GWTC-2.1-confident,43.8,23.3,19.9,-12.6,12.5,-10.0,4940.0,3710.0,-2380.0,0.77,8.1,68.0,26.9,0.2,65.0
