recno,JName,RA_deg,Dec_deg,RA_str,Dec_str,P0_s,DM,S1400_mJy,W50_ms
1,J0006+1834,1.52,18.583056,00:06:04.80,+18:34:59.0,0.69374767047,1.4e-10,12.0,0.6
2,J0007+7303,1.757083,73.052056,00:07:01.70,+73:03:07.4,0.3158731909,3e-10,1.4,13900.0
3,J0014+4746,3.573958,47.775944,00:14:17.75,+47:46:33.4,1.240699038946,1.1e-11,30.85,0.07
4,J0023+0923,5.820333,9.389972,00:23:16.88,+09:23:23.9,0.4,0.3,0.00305,14.3
5,J0024-7204C,5.959792,-72.075417,00:23:50.35,-72:04:31.5,0.00575677999551,1.7e-16,24.599,0.002
6,J0024-7204D,6.057833,-72.078833,00:24:13.88,-72:04:43.8,0.00535757328486,1.8e-16,24.729,0.002
7,J0024-7204E,6.04625,-72.088917,00:24:11.10,-72:05:20.1,0.00353632915276,1.3e-16,24.23,0.002
8,J0024-7204F,6.016042,-72.078556,00:24:03.85,-72:04:42.8,0.00262357935251,1.4e-16,24.379,0.005
9,J0024-7204G,6.033167,-72.077694,00:24:07.96,-72:04:39.7,0.00404037914356,4e-16,24.441,0.005
10,J0024-7204H,6.027917,-72.068556,00:24:06.70,-72:04:06.8,0.00321034070935,5e-16,24.36,0.03
11,J0024-7204I,6.033042,-72.077694,00:24:07.93,-72:04:39.7,0.00348499206166,5e-16,24.42,0.02
12,J0024-7204J,5.997542,-72.066333,00:23:59.41,-72:03:58.8,0.00210063354535,3e-17,24.5848,0.0009
13,J0024-7204L,6.015708,-72.082472,00:24:03.77,-72:04:56.9,0.00434616799946,1.4e-15,24.38,0.05
14,J0024-7204M,5.977042,-72.091861,00:23:54.49,-72:05:30.7,0.0036766432176,1e-15,24.42,0.02
15,J0024-7204N,6.038292,-72.074694,00:24:09.19,-72:04:28.9,0.00305395434626,4e-16,24.56,0.03
16,J0024-7204O,6.019375,-72.081611,00:24:04.65,-72:04:53.8,0.00264334329724,3e-16,24.363,0.01
17,J0024-7204P,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.003643021,1e-09,24.3,0.1
18,J0024-7204Q,6.068708,-72.073667,00:24:16.49,-72:04:25.2,0.00403318118457,5e-16,24.29,0.02
19,J0024-7204R,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.003480463,1e-09,24.4,0.1
20,J0024-7204S,6.016583,-72.078417,00:24:03.98,-72:04:42.3,0.00283040595788,5e-16,24.353,0.009
21,J0024-7204T,6.035625,-72.077472,00:24:08.55,-72:04:38.9,0.00758847980736,5e-15,24.39,0.06
22,J0024-7204U,6.041,-72.066583,00:24:09.84,-72:03:59.7,0.00434282669639,4e-16,24.335,0.004
23,J0024-7204V,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.00481,1e-06,24.1,0.1
24,J0024-7204W,6.025292,-72.080278,00:24:06.07,-72:04:49.0,0.002352344,1e-09,24.3,0.1
25,J0024-7204X,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.004771,24.0,0.2,4.0
26,J0024-7204Y,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.00219666,24.2,0.1,4.0
27,J0024-7204Z,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.004554,24.47,0.01,4.0
28,J0026+6320,6.710667,63.333583,00:26:50.56,+63:20:00.9,0.318357731235,1e-12,230.31,13.6
29,J0030+0451,7.614292,4.861028,00:30:27.43,+04:51:39.7,3.3,0.2,0.00486545320737,3e-16
30,J0033+57,8.25,57.0,00:33:00.00,+57:00:00.0,0.315,76.0,3.34,3.34
31,J0033+61,8.25,61.0,00:33:00.00,+61:00:00.0,0.912,37.0,1.92,1.92
32,J0034-0534,8.590958,-5.576833,00:34:21.83,-05:34:36.6,0.00187718188458,2e-16,13.76517,4e-05
33,J0034-0721,8.536958,-7.364833,00:34:08.87,-07:21:53.4,0.93,0.08,0.9429509945598,1.7e-12
34,J0034+69,8.5,69.716667,00:34:00.00,+69:43:00.0,0.03680412,1.6e-07,80.0,0.3
35,J0040+5716,10.134833,57.273583,00:40:32.36,+57:16:24.9,1.1182253452412,1.3e-12,92.595,0.009
36,J0045-7042,11.357042,-70.701972,00:45:25.69,-70:42:07.1,0.63233580002,6e-11,70.0,3.0
37,J0045-7319,11.3965,-73.3175,00:45:35.16,-73:19:03.0,0.92627590497,3e-11,105.4,0.7
38,J0048+3412,12.141583,34.202222,00:48:33.98,+34:12:08.0,1.217094296058,8e-12,39.94,0.04
39,J0051+0423,12.875417,4.380278,00:51:30.10,+04:22:49.0,0.3547317989,1e-11,13.9,0.1
40,J0053+69,13.25,69.65,00:53:00.00,+69:39:00.0,0.832938,2.8e-05,117.0,2.0
41,J0054+66,13.5,66.0,00:54:00.00,+66:00:00.0,1.39,15.0,0.81,0.81
42,J0054+69,13.616667,69.433333,00:54:28.00,+69:26:00.0,90.3,0.2,4.73,4.73
43,J0055+5117,13.939083,51.290278,00:55:45.38,+51:17:25.0,2.115171148865,4e-12,44.125,0.01
44,J0056+4756,14.106292,47.93625,00:56:25.51,+47:56:10.5,0.472036662076,7e-12,18.09,0.04
45,J0057-7201,14.433333,-72.021944,00:57:44.00,-72:01:19.0,0.7380624426,2e-10,27.0,5.0
46,J0058+6125,14.5,61.416667,00:58:00.00,+61:25:00.0,0.637,129.0,5.81,5.81
47,J0059+50,14.75,50.033333,00:59:00.00,+50:02:00.0,0.996009,6.1e-05,67.0,2.0
48,J0100-7211,15.179292,-72.192667,01:00:43.03,-72:11:33.6,8.020392,9e-06,59.7,6760.0
49,J0101-6422,15.296333,-64.375056,01:01:11.12,-64:22:30.2,0.00257315197217,2e-16,11.926,0.001
50,J0102+4839,15.75,48.0,01:03:00.00,+48:00:00.0,0.00296,53.5,0.5,4.03
51,J0102+6537,15.637333,65.620389,01:02:32.96,+65:37:13.4,1.679164229064,1.2e-11,65.853,0.02
52,J0103+54,15.904167,54.033333,01:03:37.00,+54:02:00.0,0.354304,6e-06,55.605,0.004
53,J0106+4855,16.604417,48.931056,01:06:25.06,+48:55:51.8,0.083157305005,6e-13,70.87,0.2
54,J0108-1431,17.034792,-14.530611,01:08:08.35,-14:31:50.2,4.2,1.4,0.807564614019,2e-11
