name,ra_deg,dec_deg,mass_Msun,err_pct,method,redshift,ref
Sgr A*,266.416829,-29.007806,4300000.0,5,stellar orbits,0.0,GRAVITY+2022
M87*,187.705931,12.391123,6500000000.0,10,EHT+stellar,0.004,EHT+2019
M31*,10.684667,41.268833,140000000.0,20,stellar dyn,0.0,Bender+2005
M32,10.41375,40.994222,2500000.0,20,stellar dyn,0.0,van den Bosch+2012
M104 (Sombrero),189.997625,-11.623047,660000000.0,15,stellar dyn,0.003,Kormendy+2013
M81,148.888208,69.065278,70000000.0,20,gas dyn,0.001,Devereux+2003
M82,148.968375,69.679444,30000000.0,30,stellar dyn,0.001,Gaffney+1993
NGC 1023,39.558958,39.066667,44000000.0,20,stellar dyn,0.002,Bower+2001
NGC 1068,40.669583,-0.013333,8000000.0,10,H2O maser,0.004,Greenhill+1996
NGC 2778,137.087917,35.028333,15000000.0,20,stellar dyn,0.007,Gebhardt+2003
NGC 2787,138.229583,69.190278,41000000.0,20,gas dyn,0.003,Sarzi+2001
NGC 2974,144.190417,-3.699722,170000000.0,20,stellar dyn,0.006,Krajnovic+2005
NGC 3115,151.30875,-7.718611,910000000.0,15,stellar dyn,0.001,Kormendy+2013
NGC 3245,155.416667,28.775,210000000.0,20,gas dyn,0.005,Barth+2001
NGC 3377,161.92625,13.985556,86000000.0,15,stellar dyn,0.002,Kormendy+2013
NGC 3379,161.956458,12.581389,100000000.0,20,stellar dyn,0.003,Shapiro+2006
NGC 3384,162.074792,12.629444,16000000.0,20,stellar dyn,0.002,Gebhardt+2003
NGC 3414,162.812917,27.974444,250000000.0,20,stellar dyn,0.005,Krajnovic+2005
NGC 3607,169.150417,18.051667,120000000.0,20,stellar dyn,0.003,Gultekin+2009
NGC 3608,169.242083,18.146389,200000000.0,20,stellar dyn,0.004,Gebhardt+2003
NGC 4258,184.739063,47.303931,39000000.0,5,H2O maser,0.001,Herrnstein+1999
NGC 4261,184.846667,5.825278,530000000.0,20,gas dyn,0.007,Ferrarese+1996
NGC 4291,185.075,75.577778,310000000.0,20,stellar dyn,0.006,Gebhardt+2003
NGC 4342,185.9125,7.053333,400000000.0,20,stellar dyn,0.002,Cretton+1997
NGC 4374,186.265625,12.886944,930000000.0,20,stellar dyn,0.003,Bower+1998
NGC 4459,187.235833,13.977222,70000000.0,20,stellar dyn,0.004,Cappellari+2010
NGC 4473,187.45,13.437222,110000000.0,20,stellar dyn,0.007,Gebhardt+2003
NGC 4486A,188.308333,12.275833,13000000.0,20,stellar dyn,0.001,Nowak+2007
NGC 4486B,188.316667,12.322778,570000000.0,30,stellar dyn,0.001,Kormendy+1997
NGC 4564,189.114167,11.439722,60000000.0,20,stellar dyn,0.004,Gebhardt+2003
NGC 4596,189.05,10.175278,80000000.0,30,stellar dyn,0.006,Sarzi+2001
NGC 4697,192.150417,-5.799444,170000000.0,20,stellar dyn,0.005,Gebhardt+2003
